license_number,dba,business_name,street,naics,naics_desc,description,status
GBL003122-11-2021,Yu's Maple Garden Chinese Restaurant LLC,Yu's Maple Garden Chinese Restaurant LLC,2501 WALL AVE,7225,Restaurants and Other Eating Places,"Chinese Restaurant. Dine-In, Take Out and Delivery",Active
1021214,THE COFFEE COMPOUND,A & Y TORRES INC,2417 GRANT AVE,7225,Restaurants and Other Eating Places,COFFEE SHOP,Active
ALCOHOL000103-12-2018,Angry Goat Pub & Kitchen,The Angry Goat Group LLC,2570 WASHINGTON BLVD,7224,Drinking Places (Alcholic Beverages),(Bar) Restaurant/D Beer/Liquor and Cabaret,Active
1024067,MENCHIE'S FROZEN YOGURT #818,BADDADDY ENTERPRISES INC,329 24TH ST,7225,Restaurants and Other Eating Places,SELF - SERVE FROZEN YOGURT / FROZEN DESERT,Active
ALCOHOL002981-10-2021,Slackwater LLC,Slackwater LLC,209 24TH ST,7225,Restaurants and Other Eating Places,Restaurant w/ Beer & Wine,Active
1021900,COURTYARD OGDEN,OGDEN HOTEL INVESTORS LLC,247 24TH ST,7223,Special Food Services,"On-Premise Banquet W/ Beer, Wine & Liquor",Active
1021898,THE BISTRO AT COURTYARD OGDEN,OGDEN HOTEL INVESTORS LLC,247 24TH ST,7225,Restaurants and Other Eating Places,"Restaurant W/Beer, Wine & Liquor inside Courtyard Ogden Hotel",Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
