license_number,dba,business_name,street,naics,naics_desc,description,status
1002820,TAQUERIA Y TORTAS EL PARAISO,TAQUERIA Y TORTAS EL PARAISO LLC,2665 WALL AVE,7225,Restaurants and Other Eating Places,MEXICAN FOOD RESTAURANT,Active
ALCOHOL003909-08-2022,Lit Arcade Bar,Lit Amusements LLC,2432 WASHINGTON BLVD,7225,Restaurants and Other Eating Places,"Arcade, Restuarant & Bar w/ Beer, Wine & Liquor",Active
ALCOHOL000954-10-2019,Stellas American & Italian Bistro,Chef Geraldine's Kitchens LLC,225 25TH ST,7225,Restaurants and Other Eating Places,Italian Restaurant w/Beer & Wine,Active
GBL003602-05-2022,Costa Del Sol LLC,Costa Del Sol LLC,2433 ADAMS AVE,7225,Restaurants and Other Eating Places,Mexican Restaurant,Active
0966617,BREWSKI'S ON HISTORIC 25TH,BREWSKI'S ON HISTORIC 25TH,244 25TH ST,7224,Drinking Places (Alcholic Beverages),Social Club W/Restaurant/D Beer/Liquor & Cabaret,Active
ALCOHOL003709-06-2022,La Ferrovia Italian Ristorante,Dritlein LLC,234 25TH ST,7225,Restaurants and Other Eating Places,Italian Restaurant w/ Beer & Wine,Active
1023338,WARREN'S CRAFT BURGER,LKD INC,258 25TH ST,7225,Restaurants and Other Eating Places,"Restaurant w/Beer, Wine & Liquor",Active
ALCOHOL001297-02-2020,Lucky Slice Ogden,Lucky Slice Ogden LLC,207 25TH ST,7225,Restaurants and Other Eating Places,Fast Casual Pizzeria w/Beer & Wine,Active
GBL000807-08-2019,Sapori Italian Bakery & Cafe,Sapori Catering LLC,325 24TH ST,7225,Restaurants and Other Eating Places,Italian Style Bakery & Cafe,Active
1021296,TAQUERIA Y TORTAS EL PARAISO,TAQUERIA Y TORTAS EL PARAISO LLC,2581 WASHINGTON BLVD,7223,Special Food Services,Sidewalk Vendor / Food Cart,Active
1021297,TAQUERIA LA TAPATIA LLC,TAQUERIA LA TAPATIA LLC,2529 WASHINGTON BLVD,7223,Special Food Services,Sidewalk Vendor / Food Cart,Active
